Old Index,Date,Sample String,Station,New Index,New Date,New Sample String,New Station
Old76,62716,06.27.16_0mA,CB33C,,,,
Old77,62716,06.27.16_0mB,CB33C,,,,
Old78,62716,06.27.16_1m,CB33C,,,,
Old79,62716,06.27.16_1m FIL,CB33C,,,,
Old80,62716,06.27.16_2m,CB33C,,,,
Old81,62716,06.27.16_4m,CB33C,,,,
Old82,62716,06.27.16_6m,CB33C,,,,
Old83,62716,06.27.16_8m,CB33C,,,,
Old84,62716,06.27.16_10m,CB33C,,,,
Old85,62716,06.27.16_12m,CB33C,,,,
Old86,62716,06.27.16_12m UF,CB33C,,,,
Old87,62716,06.27.16_14m,CB33C,,,,
Old88,62716,06.27.16_16m,CB33C,,,,
Old89,62716,06.27.16_18m,CB33C,,,,
Old90,62716,06.27.16_20m,CB33C,,,,
Old91,62716,06.27.16_21m,CB33C,,,,
Old92,62716,06.27.16_SB,CB33C,,,,
Old93,62716,06.27.16_EB,CB33C,,,,
Old143,71116,071116_CB2.2(1),CB22,New0,71316,7.13.16 CB 2.2(1),CB22
Old144,71116,071116_CB2.2(2),CB22,New1,71316,7.13.16 CB 2.2(2),CB22
Old145,71116,071116_CB3.1(A),CB31,,,,
Old146,71116,071116_CB3.2,CB32,,,,
Old147,71116,071116_CB3.3C,CB33C,New70,71216,7.12.16 CB 3.3 C,CB33C
Old148,71116,071116_CB4.1C ,CB41C,New85,71216,7.12.16 CB 4.1C,CB41C
Old149,71116,071116_CB4.2C,CB42C,,,,
Old150,71116,071116_CB4.3C,CB43C,New89,71216,7.12.16 CB 4.3C,CB43C
Old151,71116,071116_CB4.4,CB44,New8,71116,7.11.16 CB 4.4,CB44
Old152,71116,071116_CB5.1,CB51,NS2,71116,7.11.16 CB 5.1,CB51
Old153,71116,071116_CB5.2,CB52,New11,71116,7.11.16 CB 5.2,CB52
Old154,71116,071116_CB5.3(1),CB53,NS15,71116,7.11.16 CB 5.3-1,CB53
Old155,71116,071116_CB5.3(2),CB53,New13,71116,7.11.16 CB 5.3-2,CB53
Old156,71116,071116_CB5.4(2),CB54,New17,71116,7.11.16 CB 5.4-2,CB54
Old157,71116,071116_CB5.4,CB54,New18,71116,7.11.16 CB 5.4-1,CB54
Old158,71116,071116_CB6.1,CB61,,,,
Old159,71116,071116_CB6.1 (2),CB61,NS16,71116,7.11.16 CB 6.1-2,CB61
Old160,71116,071116_CB6.2,CB62,,,,
Old161,71116,071116_CB6.2 (2),CB62,,,,
Old162,71116,071116_CB6.3 (2),CB63,New29,71116,7.11.16 CB 6.3-2,CB63
Old163,71116,071116_CB6.3,CB63,New30,71116,7.11.16 CB 6.3-1,CB63
Old164,71116,071116_CB6.4 (2),CB64,,,,
Old165,71116,071116_CB6.4,CB64,New33,71116,7.11.16 CB 6.4-1,CB64
Old166,71116,071116_CB7.1,CB71,NS8,,7.11.16 CB 7.2-2,CB72
Old167,71116,071116_CB7.1 (2),CB71,,,,
Old168,71116,071116_CB7.2,CB72,New40,71116,7.11.16 CB 7.2-1,CB72
Old169,71116,071116_CB7.2 (2),CB72,,,,
Old170,71116,071116_CB7.3,CB73,,,,
Old171,71116,071116_CB7.3 (2),CB73,NS6,71116,7.11.16 CB 7.3-2,CB73
Old172,71116,071116_CB7.4,CB74,,,,
Old173,71116,071116_CB7.4 (2),CB74,New44,71116,7.11.16 CB 7.4-2,CB74
Old94,72516,07.25.16_0mA,CB33C,New79,72516,7.25.16 BB 0mA,CB33C
Old95,72516,07.25.16_0mB,CB33C,New76,72516,7.25.16 BB 0mB,CB33C
Old96,72516,07.25.16_0mA_FIL,CB33C,,,,
Old97,72516,07.25.16_1m,CB33C,,,,
Old98,72516,07.25.16_2m,CB33C,,,,
Old99,72516,07.25.16_3m,CB33C,,,,
Old100,72516,07.25.16_4m,CB33C,New72,72516,7.25.16 BB 4m,CB33C
Old101,72516,07.25.16_4m UF,CB33C,New71,72516,7.25.16 BB 4m UF,CB33C
Old102,72516,07.25.16_5m,CB33C,,,,
Old103,72516,07.25.16_6m,CB33C,,,,
Old104,72516,07.25.16_6m UF,CB33C,New77,72516,7.25.16 BB 6 (F),CB33C
Old105,72516,07.25.16_7m,CB33C,,,,
Old106,72516,07.25.16_8m,CB33C,,,,
Old107,72516,07.25.16_9m,CB33C,,,,
Old108,72516,07.25.16_10m,CB33C,,,,
Old109,72516,07.25.16_11m,CB33C,,,,
Old110,72516,07.25.16_12m,CB33C,NS22,72516,7.25.16 BB 12m,CB33C
Old111,72516,07.25.16_13m,CB33C,,,,
Old112,72516,07.25.16_14m,CB33C,New75,72516,7.25.16 BB 14m,CB33C
Old113,72516,07.25.16_15m,CB33C,,,,
Old114,72516,07.25.16_16m,CB33C,New74,72516,7.25.16 BB 16m,CB33C
Old115,72516,07.25.16_16m UF,CB33C,,,,
Old116,72516,07.25.16_17m,CB33C,,,,
Old117,72516,07.25.16_18m,CB33C,New73,72516,7.25.16 BB 18m,CB33C
Old118,72516,07.25.16_19m,CB33C,,,,
Old119,72516,07.25.16_20m UF,CB33C,New69,72516,7.25.16 BB 20m (2),CB33C
Old120,72516,07.25.16_20m,CB33C,New78,72516,7.25.16 BB 20m,CB33C
Old121,72516,07.25.16_21m,CB33C,,,,
Old122,72516,07.25.16_22m,CB33C,,,,
Old123,72516,07.25.16_EB,CB33C,NS17,72516,7.25.16 BB EB,CB33C
Old124,72516,07.25.16_SB,CB33C,,,,
Old174,81216,081216_CB2.2-2,CB22,New4,81016,8.10.16  CB 2.2-2,CB22
Old175,81216,081216_CB2.2-1,CB22,New3,81016,8.10.16 CB 2.2-1,CB22
Old176,81216,081216_CB3.1,CB31,New6,81016,8.10.16 CB 3.1,CB31
Old177,81216,081216_CB3.1 F,CB31,,,,
Old178,81216,081216_CB3.1(A),CB31,,,,
Old179,81216,081216_CB3.2,CB32,New7,81016,8.10.16 CB 3.2,CB32
Old125,81216,081216_0m,CB33C,,,,
Old126,81216,081216_2m,CB33C,New83,81216,8.12.16 BB 2m(1),CB33C
Old127,81216,081216_4m,CB33C,,,,
Old128,81216,081216_6m,CB33C,,,,
Old129,81216,081216_8m,CB33C,,,,
Old130,81216,081216_10m,CB33C,New84,81216,8.12.16 BB 10m,CB33C
Old131,81216,081216_12m_FIL,CB33C,,,,
Old132,81216,081216_12m,CB33C,,,,
Old133,81216,081216_13m,CB33C,,,,
Old134,81216,081216_14m,CB33C,,,,
Old135,81216,081216_15m,CB33C,New82,81216,8.12.16 BB 15m,CB33C
Old136,81216,081216_16mA,CB33C,,,,
Old137,81216,081216_16mB,CB33C,,,,
Old138,81216,081216_16mB_FIL,CB33C,New80,81216,8.12.16 BB 16m(1),CB33C
Old139,81216,081216_18m,CB33C,,,,
Old140,81216,081216_20m,CB33C,,,,
Old141,81216,081216_EB,CB33C,NS23,81216,8.12.16 BB EB,CB33C
Old142,81216,081216_SB,CB33C,,,,
Old180,81216,081216_CB3.3C,CB33C,New81,8916,8.9.16 CB 3.3C,CB33C
Old181,81216,081216_CB4.1C ,CB41C,New87,8916,8.9.16 CB 4.1C,CB41C
Old182,81216,081216_CB4.2C,CB42C,New88,8916,8.9.16 CB 4.2C,CB42C
Old183,81216,081216_CB4.3C,CB43C,New90,8916,8.9.16 CB 4.3C,CB43C
Old184,81216,080816_CB4.4,CB44,,,,
Old185,81216,081216_CB5.1,CB51,New10,8816,8.8.16 CB 5.1,CB51
Old186,81216,081216_CB5.2,CB52,,,,
Old187,81216,080816_CB5.3-1,CB53,,,,
Old188,81216,081216_CB5.3-2,CB53,New16,8816,8.8.16 CB 5.3-2,CB53
Old189,81216,081216_CB5.4(2),CB54,New19,8816,8.8.16 CB 5.4-2,CB54
Old190,81216,081216_CB5.4,CB54,New21,8816,8.8.16 CB 5.4-1,CB54
Old191,81216,081216_CB6.1,CB61,New25,8816,8.8.16 CB 6.1-1,CB61
Old192,81216,081216_CB6.1 (2),CB61,New22,8816,8.8.16 CB 6.1-2,CB61
Old193,81216,081216_CB6.2 (2),CB62,New26,8816,8.8.16 CB 6.2-2,CB62
Old194,81216,081216_CB6.2,CB62,New27,8816,8.8.16 CB 6.2(1),CB62
Old195,81216,081216_CB6.3(2),CB63,,,,
Old196,81216,081216_CB6.3(2),CB63,New31,8816,8.8.16 CB 6.3-2,CB63
Old197,81216,081216_CB6.3 (1),CB63,,,,
Old198,81216,081216_CB6.4 (2),CB64,New34,8816,8.8.16 CB 6.4-2,CB64
Old199,81216,081216_CB6.4,CB64,NS3,8816,8.8.16 CB 6.4(1),CB64
Old200,81216,081216_CB7.1,CB71,,,,
Old201,81216,081216_CB7.1 (2),CB71,New39,8816,8.8.16 CB 7.1-2,CB71
Old202,81216,081216_CB7.2,CB72,,,,
Old203,81216,081216_CB7.2 (2),CB72,New41,8816,8.8.16 CB 7.2-2,CB72
Old204,81216,081216_CB7.3 (2),CB73,,,,
Old205,81216,081216_CB7.3,CB73,New43,8816,8.8.16 CB 7.3(1),CB73
Old206,81216,081216_CB7.4 (2),CB74,NS4,8816,8.8.16 CB 7.4-2,CB74
Old207,81216,081216_CB7.4,CB74,,,,
Old210,82916,082916_CB3.1(A),CB31,,,,
Old211,82916,082916_CB3.1(A)_F,CB31,New5,83116,8.31.16 CB 3.1 F,CB31
Old212,82916,082916_CB3.2,CB32,,,,
Old213,82916,082916_CB3.2,CB32,,,,
Old218,82916,082916_CB4.3C,CB43C,New91,83016,8.30.16 CB 4.3C,CB43C
Old219,82916,082916_CB4.3C,CB43C,,,,
Old220,82916,082916_CB4.3C(B),CB43C,,,,
Old221,82916,082916_CB4.4,CB44,New9,82916,8.29.16 CB 4.4,CB44
Old222,82916,082916_CB5.1,CB51,,,,
Old223,82916,082916_CB5.2,CB52,New12,82916,8.29.16 CB 5.2,CB52
Old224,82916,082916_CB5.3(1),CB53,New14,82916,8.29.16 CB 5.3-1,CB53
Old225,82916,082916_CB5.3(2),CB53,New15,82916,8.29.16 CB 5.3-2,CB53
Old226,82916,082916_CB5.3(2),CB53,,,,
Old227,82916,082916_CB5.4,CB54,NS21,82916,8.29.16 CB 5.4-1,CB54
Old228,82916,082916_CB5.4 (2),CB54,New20,82916,8.29.16 CB 5.4.2,CB54
Old229,82916,082916_CB6.1 (2),CB61,New24,82916,8.29.16 CB 6.1-2,CB61
Old230,82916,082916_CB6.1,CB61,New23,82916,8.29.16 CB 6.1(1),CB61
Old231,82916,082916_CB6.2,CB62,New28,82916,8.29.16 CB 6.2-1,CB62
Old232,82916,082916_CB6.2 (2),CB62,,,,
Old233,82916,082916_CB6.3 (2),CB63,New32,82916,8.29.16 CB 6.3-2,CB63
Old234,82916,082916_CB6.3 (1),CB63,NS5,,8.29.16 CB 6.3-1,
Old235,82916,082916_CB6.4 (2),CB64,New35,82916,8.29.16 CB 6.4-2,CB64
Old236,82916,082916_CB6.4,CB64,New36,82916,8.29.16 CB 6.4-1,CB64
Old237,82916,082916_CB7.1 (1),CB71,New38,82916,8.29.16 CB 7.1-1,CB71
Old238,82916,082916_CB7.1 (2),CB71,New37,82916,8.29.16 CB 7-1-2,CB71
Old239,82916,082916_CB7.1 (2),CB71,,,,
Old240,82916,082916_CB7.2 (2),CB72,,,,
Old241,82916,082916_CB7.2,CB72,New42,82916,8.29.16 CB 7.2-1,CB72
Old242,82916,082916_CB7.3 (1) 2,CB73,,,,
Old243,82916,082916_CB7.3 (2),CB73,,,,
Old244,82916,082916_CB7.3 (1),CB73,NS11,82916,8.29.16 CB 7.3-1,CB73
Old245,82916,082916_CB7.4,CB74,New46,82916,8.29.16 CB 7.4-1,CB74
Old246,82916,082916_CB7.4 (2),CB74,New45,82916,8.29.16 CB 7.4-2,CB74
Old214,83016,083016_CB3.3C,CB33C,,,,
Old215,83016,083016_CB4.1C ,CB41C,New86,83016,8.30.16 CB 4.1C,CB41C
Old216,83016,083016_CB4.2C,CB42C,,,,
Old217,83016,083016_CB4.2C_F,CB42C,NS13,83016,8.30.16 CB 4.2C F,CB42
Old208,83116,083116_CB2.2-1,CB22,,,,
Old209,83116,083116_CB2.2-2,CB22,New2,83116,8.31.16 CB 2.2-2,CB22